autoroute,nom_station,source_autobahnen_ch,canton,direction,latitude,longitude,km_depuis_origine,restauration,site_web,borne_recharge_existante,operateur_principal,puissance_max_kW,notes
A2,Basel-Weil,Oui,BS,Direction Chiasso (TI) Grenze I,47.593692,7.603367,0,Marché,https://www.marche.ch/de/marche_bistro_basel-weil.html,Oui,GoFast,150,"Aire de ravitaillement A2/A5 - point de départ A2 (frontière allemande)"
A2,Pratteln,Oui,BL,Bidirectionnel,47.527403,7.700670,12,Autogrill,https://groupservice.ch/pratteln.html,Oui,IONITY,350,"Aire de ravitaillement bidirectionnelle"
A2,Eggberg,Oui,SO,Direction Basel (BS) Grenze DE,47.441000,7.772000,25,Non (aire de repos),,Non,,,"Aire de repos - coordonnées GPS approximatives (non fournies par autobahnen.ch)"
A2,Teufengraben,Oui,SO,Direction Chiasso (TI) Grenze I,47.435000,7.778000,27,Non (aire de repos),,Non,,,"Aire de repos - coordonnées GPS approximatives (non fournies par autobahnen.ch)"
A2,Neuenkirch Ouest,Oui,LU,Direction Chiasso (TI) Grenze I,47.110633,8.233444,55,Marché,https://www.marche.ch/de/marche_bistro_neuenkirchwest.html,Oui,GoFast,150,"Aire de ravitaillement"
A2,Neuenkirch Est,Oui,LU,Direction Basel (BS) Grenze DE,47.112900,8.232380,55,Marché,https://www.marche.ch/de/marche_neuenkirchost.html,Oui,GoFast,150,"Aire de ravitaillement"
A2,Gotthard,Oui,UR,Bidirectionnel,46.847104,8.632744,130,Oui,http://www.gotthardraststaette.ch,Oui,IONITY,350,"Aire de ravitaillement - col du Gothard"
A2,San Gottardo Sud - Quinto,Oui,TI,Direction Chiasso (TI) Grenze I,46.515319,8.666335,160,Oui,https://areacityquinto.com/?lang=de,Oui,GoFast,150,"Aire de ravitaillement versant sud - direction sud"
A2,San Gottardo Sud - Stalvedro,Oui,TI,Direction Basel (BS) Grenze DE,46.520807,8.633737,160,Oui,https://www.a2stalvedro.ch/de/,Oui,GoFast,150,"Aire de ravitaillement versant sud - direction nord"
A2,Bellinzona Nord,Oui,TI,Direction Chiasso (TI) Grenze I,46.209318,9.027411,195,Marché,https://www.marche.ch/de/marche_bellinzonanord.html,Oui,Move,100,"Aire de ravitaillement - direction sud"
A2,Bellinzona Sud,Oui,TI,Direction Basel (BS) Grenze DE,46.181925,9.001573,198,Marché,https://www.marche.ch/de/marche_bellinzonasud.html,Oui,Move,100,"Aire de ravitaillement - direction nord"
A2,Coldrerio Ouest,Oui,TI,Direction Chiasso (TI) Grenze I,45.850124,8.982665,235,Oui,https://www.a2coldrerio.ch/en/,Oui,IONITY,350,"Aire de ravitaillement frontière italienne - direction sud"
A2,Coldrerio Est,Oui,TI,Direction Basel (BS) Grenze DE,45.849789,8.985408,236,Oui,https://www.a2coldrerio.ch/en/,Oui,IONITY,350,"Aire de ravitaillement frontière italienne - direction nord"
A8,Iseltwald,Non (non répertoriée sur autobahnen.ch),BE,Bidirectionnel,46.706000,7.960000,30,Non (aire de repos),,Non,,,"Aire de repos dans chaque sens - entre Interlaken-Ost (km24) et Brienz (km38) - A8 semi-autoroute sans aires de ravitaillement"
A8,,,BE,,,,,,,,,,"REMARQUE : Le site autobahnen.ch ne liste aucune aire de ravitaillement (Raststätte) sur l'A8. L'A8 est principalement une semi-autoroute (Autostrasse) sans infrastructure de restauration. Seule une aire de repos (Rastplatz) à Iseltwald est documentée entre les jonctions Bönigen et Brienz."
A13,Rheintal,Oui,SG,Bidirectionnel,47.146242,9.500644,10,Oui,https://www.gruppe-thurau.ch/rheintal-raststaette-auswahl/,Oui,Move,100,"Aire de ravitaillement bidirectionnelle - entrée A13 côté SG"
A13,Heidiland,Oui,GR,Bidirectionnel,47.011745,9.511904,32,Marché + Burger King,https://www.marche.ch/de/marche_heidiland.html,Oui,GoFast,150,"Aire de ravitaillement bidirectionnelle - région Heidiland"
A13,Viamala,Oui,GR,Bidirectionnel,46.712504,9.445412,68,Oui,http://www.viamala-raststaette.ch,Oui,GoFast,150,"Aire de ravitaillement bidirectionnelle - gorges de la Via Mala"
A13,Campagnola Nord,Oui,GR,Direction Ascona (TI),46.232381,9.103709,110,ENI,https://www.eni.com/de_CH/home.page,Non,,,"Aire de ravitaillement - direction sud seulement (côté nord documenté). Côté nord->SG : coordonnées non fournies par autobahnen.ch"
