id,quote,author
1,"A reader lives a thousand lives before he dies. The man who never reads lives only one.","George R.R. Martin"
2,"Not all those who wander are lost.","J.R.R. Tolkien"
3,"A room without books is like a body without a soul.","Marcus Tullius Cicero"
4,"You can never get a cup of tea large enough or a book long enough to suit me.","C.S. Lewis"
5,"I declare after all there is no enjoyment like reading!","Jane Austen"
6,"There is no friend as loyal as a book.","Ernest Hemingway"
7,"Books are a uniquely portable magic.","Stephen King"
8,"One must always be careful of books, and what is inside them.","Cassandra Clare"
9,"Reading is to the mind what exercise is to the body.","Joseph Addison"
10,"The more that you read, the more things you will know.","Dr. Seuss"
11,"Think before you speak. Read before you think.","Fran Lebowitz"
12,"A book is a dream that you hold in your hands.","Neil Gaiman"
13,"Books are mirrors of the soul.","Virginia Woolf"
14,"To read without reflecting is like eating without digesting.","Edmund Burke"
15,"Literature is the most agreeable way of ignoring life.","Fernando Pessoa"
16,"That's the thing about books. They let you travel without moving your feet.","Jhumpa Lahiri"
17,"I have always imagined that Paradise will be a kind of library.","Jorge Luis Borges"
18,"Until I feared I would lose it, I never loved to read. One does not love breathing.","Harper Lee"
19,"The world belongs to those who read.","Rick Holland"
20,"A book is a gift you can open again and again.","Garrison Keillor"
21,"Books are the quietest and most constant of friends.","Charles W. Eliot"
22,"Reading gives us someplace to go when we have to stay where we are.","Mason Cooley"
23,"I find television very educating. Every time somebody turns on the set, I go into the other room and read a book.","Groucho Marx"
24,"If you don't like to read, you haven't found the right book.","J.K. Rowling"
25,"Good friends, good books, and a sleepy conscience: this is the ideal life.","Mark Twain"
26,"I am part of everything that I have read.","Theodore Roosevelt"
27,"Books are the plane, and the train, and the road. They are the destination and the journey.","Anna Quindlen"
28,"Once you learn to read, you will be forever free.","Frederick Douglass"
29,"A book is the only place in which you can examine a fragile thought without breaking it.","Edward P. Morgan"
30,"Reading is a conversation. All books talk. But a good book listens as well.","Mark Haddon"
31,"The reading of all good books is like a conversation with the finest minds of past centuries.","René Descartes"
32,"If we encounter a man of rare intellect, we should ask him what books he reads.","Ralph Waldo Emerson"
33,"No two persons ever read the same book.","Edmund Wilson"
34,"A great book should leave you with many experiences, and slightly exhausted at the end.","William Styron"
35,"Books serve to show a man that those original thoughts of his aren't very new after all.","Abraham Lincoln"
36,"Sleep is good, he said, and books are better.","George R.R. Martin"
37,"If you only read the books that everyone else is reading, you can only think what everyone else is thinking.","Haruki Murakami"
38,"Books are the treasured wealth of the world and the fit inheritance of generations.","Henry David Thoreau"
39,"What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours.","J.D. Salinger"
40,"Classic: a book which people praise and don't read.","Mark Twain"
41,"The books that the world calls immoral are books that show the world its own shame.","Oscar Wilde"
42,"I would be most content if my children grew up to be the kind of people who think decorating consists mostly of building enough bookshelves.","Anna Quindlen"
43,"There are worse crimes than burning books. One of them is not reading them.","Joseph Brodsky"
44,"To read is to fly: it is to soar to a point of vantage which gives a view over wide terrains of history, human variety, ideas, shared experience and the fruits of many inquiries.","A.C. Grayling"
45,"A book must be the axe for the frozen sea within us.","Franz Kafka"
46,"Reading is escape, and the opposite of escape; it's a way of meeting the world head-on.","Nora Ephron"
47,"Books are not made for furniture, but there is nothing else that so beautifully furnishes a house.","Henry Ward Beecher"
48,"We read to know we are not alone.","William Nicholson"
49,"I cannot live without books.","Thomas Jefferson"
50,"The person who deserves most pity is a lonesome one on a rainy day who doesn't know how to read.","Benjamin Franklin"
51,"Books are the mirrors of the soul.","Virginia Woolf"
52,"One glance at a book and you hear the voice of another person, perhaps someone dead for 1,000 years.","Lois L'Amour"
53,"A book can change a life. A library can change a civilization.","unknown"
54,"There is no substitute for books in the life of a child.","Mary Ellen Chase"
55,"You are never alone with a book.","unknown"
56,"Books are the legacies that a great genius leaves to mankind.","Joseph Addison"
57,"A good book is an event in my life.","Stendhal"
58,"Books are the bees which carry the quickening pollen from one to another mind.","James Russell Lowell"
59,"In books I have traveled, not only to other worlds, but into my own.","Anna Quindlen"
60,"Where books are burned, ultimately people are also burned.","Heinrich Heine"
61,"Never trust anyone who has not brought a book with them.","Lemony Snicket"
62,"There is no Frigate like a Book to take us Lands away.","Emily Dickinson"
63,"The greatest gift is a passion for reading.","Elizabeth Hardwick"
64,"Book lovers never go to bed alone.","unknown"
65,"Some books leave us free and some books make us free.","Ralph Waldo Emerson"
66,"My best friend is a person who will give me a book I have not read.","Abraham Lincoln"
67,"Reading is a basic tool in the living of a good life.","Mortimer J. Adler"
68,"A library is not a luxury but one of the necessities of life.","Henry Ward Beecher"
69,"Literature adds to reality, it does not simply describe it.","C.S. Lewis"
70,"The man who does not read has no advantage over the man who cannot read.","Mark Twain"
71,"I kept always two books in my pocket, one to read, one to write in.","Robert Louis Stevenson"
72,"Reading is a discount ticket to everywhere.","Mary Schmich"
